City,Country,Date,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lng
Albany,US,1601180147,69.01,98,2,1.99,42.6,-73.97
Ribeira Grande,PT,1601180375,70.43,88,56,14.29,38.52,-28.7
Port Elizabeth,ZA,1601180220,50.0,76,2,13.87,-33.92,25.57
Krasnokamensk,RU,1601180375,53.55,44,0,19.24,50.1,118.04
Nizwá,OM,1601180376,86.7,25,0,1.41,22.93,57.53
Busselton,AU,1601180376,64.0,69,100,3.0,-33.65,115.33
Port Alfred,ZA,1601180376,51.17,68,8,15.75,-33.59,26.89
Airai,TL,1601180376,80.02,39,33,6.76,-8.93,125.41
Oneonta,US,1601180377,64.99,94,51,5.01,42.45,-75.06
Bonavista,CA,1601180377,53.04,74,99,11.39,48.65,-53.11
Grand Gaube,MU,1601180377,72.0,74,20,5.01,-20.01,57.66
Hilo,US,1601180234,80.6,65,75,3.36,19.73,-155.09
Chokurdakh,RU,1601180378,46.47,53,18,11.9,70.63,147.92
Ol'ga,RU,1601180378,61.84,57,51,11.41,43.74,135.29
Cape Town,ZA,1601180378,48.0,81,75,5.82,-33.93,18.42
Saint George,US,1601180117,80.01,12,1,4.7,37.1,-113.58
Tuktoyaktuk,CA,1601180225,35.6,100,90,14.99,69.45,-133.04
Mataura,NZ,1601180379,43.0,74,90,15.99,-46.19,168.86
Ponta do Sol,PT,1601180379,69.8,68,40,13.87,32.67,-17.1
Barrow,US,1601180379,32.0,96,90,10.29,71.29,-156.79
Khatanga,RU,1601180218,44.85,91,100,14.99,71.97,102.5
Tautira,PF,1601180379,82.4,69,20,6.93,-17.73,-149.15
Avarua,CK,1601180230,73.4,78,81,5.82,-21.21,-159.78
Parvatsar,IN,1601180380,82.92,58,0,12.48,26.88,74.77
Vaini,TO,1601180380,77.0,73,20,9.17,-21.2,-175.2
Lethem,GY,1601180380,77.97,75,46,3.06,3.38,-59.8
Punta Arenas,CL,1601180381,37.4,86,75,19.46,-53.15,-70.92
Tiznit Province,MA,1601180381,63.34,78,1,4.94,29.58,-9.5
Los Llanos de Aridane,ES,1601180381,75.2,73,90,18.34,28.66,-17.92
Chimbote,PE,1601180381,59.94,89,9,7.56,-9.09,-78.58
Upernavik,GL,1601180382,26.98,93,100,3.33,72.79,-56.15
Tyukhtet,RU,1601180382,42.66,89,99,5.68,56.54,89.3
Atuona,PF,1601180113,78.4,71,1,12.17,-9.8,-139.03
Hokitika,NZ,1601180382,50.72,74,97,21.18,-42.72,170.97
Ushuaia,AR,1601180149,35.6,94,75,9.17,-54.8,-68.3
New Norfolk,AU,1601180383,55.0,56,87,4.0,-42.78,147.06
Broome,US,1601180383,64.0,93,90,5.82,42.25,-75.83
Bolobo,CD,1601180383,71.1,88,33,2.8,-2.17,16.23
Severo-Kuril'sk,RU,1601180383,51.62,61,95,9.75,50.68,156.12
Bluff,NZ,1601180384,43.0,74,77,15.99,-46.6,168.33
Tura,IN,1601180294,78.87,91,98,5.3,25.52,90.22
Dunedin,NZ,1601180384,48.99,62,31,8.99,-45.87,170.5
Rikitea,PF,1601180384,74.44,83,0,12.33,-23.12,-134.97
Portland,US,1601180010,61.0,79,22,3.53,45.52,-122.68
Hamilton,US,1601180130,66.99,82,1,6.93,39.18,-84.53
Mar del Plata,AR,1601180357,54.0,100,90,6.93,-38.0,-57.56
Río Gallegos,AR,1601180385,44.6,56,90,13.87,-51.62,-69.22
Ambilobe,MG,1601180285,73.67,62,0,4.52,-13.2,49.05
George Town,MY,1601180386,82.4,69,20,5.82,5.41,100.34
Talara,PE,1601180386,63.77,81,1,14.65,-4.58,-81.27
Vila Velha,BR,1601180386,75.99,83,0,6.93,-20.33,-40.29
Puerto Ayora,EC,1601180387,68.0,88,22,3.0,-0.74,-90.35
Dnestrovsc,MD,1601180387,71.01,94,75,15.66,46.62,29.91
Quatre Cocos,MU,1601180387,72.0,83,75,6.93,-20.21,57.76
Iqaluit,CA,1601180387,28.4,79,75,4.7,63.75,-68.51
Binga,ZW,1601180387,70.16,39,0,1.21,-17.62,27.34
Manggar,ID,1601180388,80.31,72,100,4.47,-2.88,108.27
Dikson,RU,1601180253,38.19,77,100,21.68,73.51,80.55
Souillac,MU,1601180276,71.6,83,75,6.93,-20.52,57.52
Qaanaaq,GL,1601180388,11.88,75,70,5.55,77.48,-69.36
Cefalù,IT,1601180389,63.0,62,38,8.01,38.04,14.02
Zhigansk,RU,1601180389,47.39,73,65,3.27,66.77,123.37
Zakharovo,RU,1601180389,48.0,44,38,1.99,54.37,39.28
Killarney,IE,1601180104,41.23,78,92,2.21,52.05,-9.52
Sakakah,SA,1601180252,75.2,33,0,5.82,29.97,40.21
Esperance,AU,1601180298,64.4,77,40,11.41,-33.87,121.9
Yellowknife,CA,1601180201,44.6,87,90,4.7,62.46,-114.35
Arshan',RU,1601180390,50.0,76,47,13.42,46.27,44.22
Tadine,NC,1601180390,77.67,78,40,5.01,-21.55,167.88
Port-Gentil,GA,1601180390,76.06,76,100,13.04,-0.72,8.78
Ahipara,NZ,1601180391,61.39,75,1,14.58,-35.17,173.17
Cidreira,BR,1601180391,64.8,94,100,20.56,-30.18,-50.21
Davila,PH,1601180391,89.6,75,75,2.24,18.47,120.58
San Patricio,MX,1601180392,79.03,82,24,1.57,19.22,-104.7
Lompoc,US,1601180140,63.0,82,1,8.05,34.64,-120.46
Ipilan,PH,1601180392,86.5,67,73,6.42,8.84,117.9
Jamestown,US,1601180392,64.0,87,1,9.17,42.1,-79.24
Constitución,CL,1601180392,48.24,81,0,7.99,-35.33,-72.42
Acaponeta,MX,1601180393,78.39,87,33,0.81,22.5,-105.36
