City,Country,Date,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lng
Yellowknife,CA,1601085177,48.2,81,90,4.7,62.46,-114.35
Binzhou,CN,1601085407,75.99,60,0,1.99,37.37,118.02
Mabaruma,GY,1601085407,77.02,85,0,2.95,8.2,-59.78
Punta Arenas,CL,1601085407,46.4,61,40,23.04,-53.15,-70.92
Carnarvon,AU,1601085270,71.6,40,0,13.87,-24.87,113.63
Bobo-Dioulasso,BF,1601085408,73.8,90,100,4.32,11.18,-4.3
Khatanga,RU,1601085408,41.23,81,96,13.96,71.97,102.5
Cape Town,ZA,1601085408,51.01,76,75,5.82,-33.93,18.42
Nísia Floresta,BR,1601085408,77.0,73,20,11.41,-6.09,-35.21
Hobart,AU,1601085213,54.0,43,75,12.75,-42.88,147.33
Raymond Terrace,AU,1601085409,63.0,32,40,28.86,-32.75,151.75
Rikitea,PF,1601085409,73.62,82,76,14.36,-23.12,-134.97
Atar,MR,1601085409,92.34,25,0,7.09,20.52,-13.05
Atuona,PF,1601085410,78.3,75,11,18.19,-9.8,-139.03
Ati,TD,1601085410,82.09,61,95,8.08,13.22,18.34
Bredasdorp,ZA,1601085410,46.4,87,9,11.41,-34.53,20.04
Hermanus,ZA,1601085202,48.99,86,41,4.0,-34.42,19.23
Iqaluit,CA,1601085410,32.0,95,75,10.29,63.75,-68.51
Avarua,CK,1601085411,77.0,78,99,11.41,-21.21,-159.78
San Patricio,MX,1601085411,87.8,74,40,9.17,19.22,-104.7
Kisangani,CD,1601085411,69.39,97,99,0.94,0.52,25.2
Kruisfontein,ZA,1601085411,57.0,50,23,11.01,-34.0,24.73
Mataura,NZ,1601085412,63.0,55,100,8.99,-46.19,168.86
Tasiilaq,GL,1601085412,37.4,74,100,24.16,65.61,-37.64
Barrow,US,1601085412,33.8,80,90,13.87,71.29,-156.79
Yeppoon,AU,1601085412,82.4,21,0,8.05,-23.13,150.73
Huaihua,CN,1601085413,61.36,94,100,4.83,27.55,109.96
Manoel Urbano,BR,1601085413,78.71,69,92,2.73,-8.84,-69.26
Belmonte,BR,1601085413,75.2,73,75,6.93,-15.86,-38.88
Cidreira,BR,1601085413,63.97,87,82,13.11,-30.18,-50.21
Qaanaaq,GL,1601085414,12.69,79,0,6.8,77.48,-69.36
Pacific Grove,US,1601085135,64.99,89,0,5.99,36.62,-121.92
Miles City,US,1601085414,66.2,29,90,4.16,46.41,-105.84
Port Blair,IN,1601085414,83.23,77,37,13.4,11.67,92.75
Sept-Îles,CA,1601085415,44.01,64,5,2.24,50.2,-66.38
Butaritari,KI,1601085415,81.7,72,34,13.06,3.07,172.79
Alofi,NU,1601085415,80.6,69,75,17.22,-19.06,-169.92
Kirakira,SB,1601085415,84.51,72,100,11.25,-10.45,161.92
Camacha,PT,1601085415,71.6,78,75,8.05,33.08,-16.33
Tiksi,RU,1601085416,46.29,55,3,13.8,71.69,128.87
Bluff,NZ,1601085416,63.0,55,100,8.99,-46.6,168.33
Vaini,TO,1601085416,77.0,83,75,8.05,-21.2,-175.2
Faanui,PF,1601085417,79.03,79,12,13.38,-16.48,-151.75
Kumul,CN,1601085417,63.23,28,0,5.08,42.8,93.45
Cap Malheureux,MU,1601085417,69.01,78,16,5.01,-19.98,57.61
Bowen,AU,1601085417,87.8,23,13,8.05,-20.02,148.23
Busselton,AU,1601085417,68.0,64,0,9.1,-33.65,115.33
Koindu,GN,1601085418,70.61,98,100,4.5,8.44,-10.33
Cururupu,BR,1601085418,74.12,92,1,3.0,-1.83,-44.87
Port Keats,AU,1601085418,88.79,54,99,6.15,-14.25,129.55
Morant Bay,JM,1601085258,86.0,74,20,9.17,17.88,-76.41
Nhulunbuy,AU,1601085419,89.6,46,94,11.41,-12.23,136.77
Klaksvík,FO,1601085419,39.2,86,48,16.58,62.23,-6.59
Bambous Virieux,MU,1601085419,69.8,77,75,16.11,-20.34,57.76
Plouzané,FR,1601085419,53.6,81,75,8.05,48.38,-4.62
Albany,US,1601085324,70.0,98,0,3.47,42.6,-73.97
Lahān,NP,1601085420,80.53,73,9,1.52,26.73,86.5
Talcahuano,CL,1601085420,51.8,81,75,5.82,-36.72,-73.12
Arraial do Cabo,BR,1601085421,71.53,88,0,20.4,-22.97,-42.03
Torbay,CA,1601085421,51.01,76,5,19.46,47.67,-52.73
Margate,GB,1601085421,51.01,56,93,14.0,51.38,1.39
Port Elizabeth,ZA,1601085324,53.6,81,75,21.92,-33.92,25.57
Ahipara,NZ,1601085421,66.61,79,5,12.17,-35.17,173.17
